ID_hecho,FECHA,AAAA,MM,DD,ROL,VICTIMA,SEXO,EDAD,FECHA_FALLECIMIENTO
2016-0003,2016-01-03,2016,1,3,CONDUCTOR,MOTO,MASCULINO,30,2016-01-03 00:00:00
2016-0005,2016-01-21,2016,1,21,CONDUCTOR,MOTO,MASCULINO,29,2016-02-01 00:00:00
2016-0008,2016-01-24,2016,1,24,CONDUCTOR,MOTO,MASCULINO,30,2016-01-24 00:00:00
2016-0012,2016-02-08,2016,2,8,CONDUCTOR,MOTO,MASCULINO,22,2016-02-08 00:00:00
2016-0017,2016-02-15,2016,2,15,PEATON,PEATON,MASCULINO,59,2016-02-16 00:00:00
2016-0020,2016-02-17,2016,2,17,PEATON,PEATON,MASCULINO,59,2016-03-02 00:00:00
2016-0021,2016-02-17,2016,2,17,CONDUCTOR,AUTO,MASCULINO,34,2016-02-17 00:00:00
2016-0026,2016-02-28,2016,2,28,CONDUCTOR,AUTO,MASCULINO,30,2016-03-04 00:00:00
2016-0028,2016-03-02,2016,3,2,PEATON,PEATON,MASCULINO,50,2016-03-02 00:00:00
2016-0029,2016-03-04,2016,3,4,PEATON,PEATON,MASCULINO,38,2016-03-04 00:00:00
2016-0031,2016-03-08,2016,3,8,CONDUCTOR,MOTO,MASCULINO,21,SD
2016-0034,2016-03-12,2016,3,12,PEATON,PEATON,MASCULINO,52,2016-03-12 00:00:00
2016-0035,2016-03-13,2016,3,13,CONDUCTOR,MOTO,MASCULINO,34,2016-03-13 00:00:00
2016-0038,2016-03-21,2016,3,21,PEATON,PEATON,MASCULINO,29,2016-03-21 00:00:00
2016-0041,2016-03-29,2016,3,29,CONDUCTOR,MOTO,MASCULINO,54,2016-03-29 00:00:00
2016-0043,2016-03-30,2016,3,30,PEATON,PEATON,FEMENINO,56,2016-03-30 00:00:00
2016-0044,2016-03-31,2016,3,31,CONDUCTOR,MOTO,MASCULINO,24,2016-03-31 00:00:00
2016-0047,2016-04-15,2016,4,15,PEATON,PEATON,MASCULINO,41,2016-04-15 00:00:00
2016-0051,2016-04-20,2016,4,20,CONDUCTOR,MOTO,MASCULINO,36,2016-04-20 00:00:00
2016-0053,2016-04-22,2016,4,22,PEATON,PEATON,MASCULINO,38,2016-04-22 00:00:00
2016-0054,2016-04-23,2016,4,23,CONDUCTOR,MOTO,MASCULINO,30,2016-04-25 00:00:00
2016-0056,2016-04-26,2016,4,26,CONDUCTOR,MOTO,MASCULINO,26,2016-04-26 00:00:00
2016-0058,2016-05-04,2016,5,4,PEATON,PEATON,FEMENINO,57,2016-05-08 00:00:00
2016-0059,2016-05-08,2016,5,8,PEATON,PEATON,MASCULINO,37,2016-05-26 00:00:00
2016-0068,2016-05-22,2016,5,22,CONDUCTOR,MOTO,MASCULINO,58,SD
2016-0069,2016-05-23,2016,5,23,CONDUCTOR,AUTO,MASCULINO,30,2016-05-23 00:00:00
2016-0073,2016-06-11,2016,6,11,CONDUCTOR,MOTO,MASCULINO,23,SD
2016-0075,2016-06-12,2016,6,12,PEATON,PEATON,MASCULINO,42,2016-06-12 00:00:00
2016-0076,2016-06-13,2016,6,13,PEATON,PEATON,FEMENINO,53,2016-06-13 00:00:00
2016-0078,2016-06-13,2016,6,13,CONDUCTOR,MOTO,MASCULINO,30,SD
2016-0079,2016-06-16,2016,6,16,CONDUCTOR,AUTO,FEMENINO,51,SD
2016-0081,2016-06-22,2016,6,22,CONDUCTOR,MOTO,MASCULINO,40,SD
2016-0084,2016-06-29,2016,6,29,PEATON,PEATON,MASCULINO,57,2016-07-08 00:00:00
2016-0087,2016-07-03,2016,7,3,CONDUCTOR,MOTO,MASCULINO,23,2016-07-03 00:00:00
2016-0089,2016-07-14,2016,7,14,PEATON,PEATON,MASCULINO,35,2016-07-14 00:00:00
2016-0092,2016-07-15,2016,7,15,CONDUCTOR,MOTO,MASCULINO,24,2016-07-15 00:00:00
2016-0093,2016-07-17,2016,7,17,CONDUCTOR,AUTO,MASCULINO,35,2016-07-19 00:00:00
2016-0095,2016-07-23,2016,7,23,CONDUCTOR,MOTO,MASCULINO,29,2016-07-23 00:00:00
2016-0098,2016-07-27,2016,7,27,CONDUCTOR,MOTO,FEMENINO,43,SD
2016-0100,2016-08-03,2016,8,3,CONDUCTOR,MOTO,MASCULINO,57,2016-08-03 00:00:00
2016-0102,2016-08-10,2016,8,10,CONDUCTOR,MOTO,MASCULINO,29,SD
2016-0104,2016-08-14,2016,8,14,CONDUCTOR,MOTO,MASCULINO,21,2016-08-15 00:00:00
2016-0106,2016-08-19,2016,8,19,PEATON,PEATON,MASCULINO,38,SD
2016-0107,2016-08-20,2016,8,20,CONDUCTOR,MOTO,MASCULINO,21,SD
2016-0109,2016-08-24,2016,8,24,CONDUCTOR,AUTO,FEMENINO,53,2016-08-24 00:00:00
2016-0110,2016-08-24,2016,8,24,PEATON,PEATON,MASCULINO,57,SD
2016-0111,2016-08-25,2016,8,25,CONDUCTOR,MOTO,MASCULINO,27,2016-08-25 00:00:00
2016-0112,2016-08-27,2016,8,27,CONDUCTOR,MOTO,MASCULINO,24,2016-08-27 00:00:00
2016-0116,2016-09-02,2016,9,2,CONDUCTOR,MOTO,MASCULINO,30,2016-09-02 00:00:00
2016-0117,2016-09-03,2016,9,3,CONDUCTOR,AUTO,MASCULINO,43,SD
2016-0118,2016-09-04,2016,9,4,CONDUCTOR,AUTO,MASCULINO,27,2016-09-04 00:00:00
2016-0123,2016-09-14,2016,9,14,CONDUCTOR,MOTO,FEMENINO,58,SD
2016-0125,2016-09-17,2016,9,17,CONDUCTOR,MOTO,MASCULINO,30,SD
2016-0126,2016-09-18,2016,9,18,CONDUCTOR,AUTO,MASCULINO,37,SD
2016-0127,2016-09-24,2016,9,24,PEATON,PEATON,MASCULINO,50,SD
2016-0130,2016-10-04,2016,10,4,CONDUCTOR,MOTO,MASCULINO,29,2016-10-04 00:00:00
2016-0131,2016-10-09,2016,10,9,PEATON,PEATON,MASCULINO,35,SD
2016-0133,2016-10-14,2016,10,14,CONDUCTOR,MOTO,MASCULINO,41,2016-10-25 00:00:00
2016-0134,2016-10-23,2016,10,23,CONDUCTOR,MOTO,MASCULINO,25,2016-10-23 00:00:00
2016-0135,2016-10-24,2016,10,24,PEATON,PEATON,MASCULINO,29,2016-10-25 00:00:00
2016-0137,2016-10-25,2016,10,25,CONDUCTOR,MOTO,MASCULINO,30,SD
2016-0142,2016-11-05,2016,11,5,CONDUCTOR,MOTO,MASCULINO,46,2016-11-05 00:00:00
2016-0143,2016-11-06,2016,11,6,CONDUCTOR,MOTO,MASCULINO,35,SD
2016-0145,2016-11-07,2016,11,7,CONDUCTOR,MOTO,MASCULINO,39,2016-11-07 00:00:00
2016-0146,2016-11-09,2016,11,9,PEATON,PEATON,FEMENINO,29,SD
2016-0152,2016-11-23,2016,11,23,CONDUCTOR,MOTO,MASCULINO,42,2016-11-24 00:00:00
2016-0154,2016-11-26,2016,11,26,CONDUCTOR,MOTO,MASCULINO,38,SD
2016-0155,2016-11-26,2016,11,26,PEATON,PEATON,FEMENINO,29,SD
2016-0156,2016-11-26,2016,11,26,CONDUCTOR,MOTO,MASCULINO,23,2016-11-30 00:00:00
2016-0157,2016-12-03,2016,12,3,CONDUCTOR,MOTO,MASCULINO,23,SD
2016-0159,2016-12-04,2016,12,4,CONDUCTOR,AUTO,MASCULINO,23,SD
2016-0161,2016-12-06,2016,12,6,PEATON,PEATON,MASCULINO,50,2016-12-06 00:00:00
2016-0162,2016-12-07,2016,12,7,PEATON,PEATON,MASCULINO,38,2017-01-01 00:00:00
2016-0163,2016-12-10,2016,12,10,CONDUCTOR,MOTO,MASCULINO,23,SD
2016-0164,2016-12-11,2016,12,11,CONDUCTOR,AUTO,MASCULINO,29,SD
2016-0168,2016-12-13,2016,12,13,CONDUCTOR,MOTO,MASCULINO,43,2016-12-13 00:00:00
2016-0169,2016-12-15,2016,12,15,CONDUCTOR,MOTO,MASCULINO,24,2016-12-16 00:00:00
2016-0172,2016-12-26,2016,12,26,CONDUCTOR,MOTO,MASCULINO,38,2016-12-26 00:00:00
2016-0173,2016-12-26,2016,12,26,CONDUCTOR,MOTO,MASCULINO,35,SD
2016-0176,2016-12-28,2016,12,28,CONDUCTOR,MOTO,MASCULINO,28,SD
2016-0177,2016-12-29,2016,12,29,PEATON,PEATON,FEMENINO,27,SD
2017-0007,2017-01-11,2017,1,11,PEATON,PEATON,MASCULINO,48,2017-01-11 00:00:00
2017-0008,2017-01-16,2017,1,16,CONDUCTOR,MOTO,MASCULINO,29,2017-01-16 00:00:00
2017-0009,2017-01-16,2017,1,16,CONDUCTOR,MOTO,MASCULINO,36,2017-01-16 00:00:00
2017-0010,2017-01-16,2017,1,16,CONDUCTOR,MOTO,MASCULINO,23,2017-01-16 00:00:00
2017-0012,2017-01-24,2017,1,24,CONDUCTOR,MOTO,MASCULINO,30,2017-01-24 00:00:00
2017-0016,2017-02-03,2017,2,3,CONDUCTOR,MOTO,MASCULINO,27,2017-02-04 00:00:00
2017-0017,2017-02-06,2017,2,6,CONDUCTOR,MOTO,MASCULINO,32,2017-02-06 00:00:00
2017-0018,2017-02-09,2017,2,9,CONDUCTOR,MOTO,MASCULINO,30,2017-02-09 00:00:00
2017-0021,2017-02-18,2017,2,18,CONDUCTOR,MOTO,MASCULINO,43,2017-02-18 00:00:00
2017-0024,2017-02-23,2017,2,23,PEATON,PEATON,MASCULINO,39,2017-02-23 00:00:00
2017-0025,2017-02-24,2017,2,24,CONDUCTOR,MOTO,MASCULINO,23,2017-02-24 00:00:00
2017-0030,2017-03-07,2017,3,7,CONDUCTOR,AUTO,FEMENINO,27,2017-03-07 00:00:00
2017-0033,2017-03-12,2017,3,12,CONDUCTOR,AUTO,MASCULINO,28,2017-03-12 00:00:00
2017-0034,2017-03-13,2017,3,13,PEATON,PEATON,MASCULINO,43,2017-03-13 00:00:00
2017-0035,2017-03-23,2017,3,23,CONDUCTOR,AUTO,MASCULINO,28,2017-03-23 00:00:00
2017-0037,2017-03-31,2017,3,31,CONDUCTOR,MOTO,MASCULINO,41,2017-03-31 00:00:00
2017-0038,2017-04-01,2017,4,1,CONDUCTOR,MOTO,FEMENINO,40,2017-04-01 00:00:00
2017-0040,2017-04-03,2017,4,3,CONDUCTOR,AUTO,MASCULINO,43,2017-04-03 00:00:00
2017-0045,2017-04-14,2017,4,14,CONDUCTOR,MOTO,MASCULINO,21,2017-04-14 00:00:00
2017-0047,2017-04-23,2017,4,23,CONDUCTOR,MOTO,MASCULINO,37,2017-04-23 00:00:00
2017-0049,2017-04-27,2017,4,27,PEATON,PEATON,MASCULINO,22,2017-04-27 00:00:00
2017-0050,2017-04-28,2017,4,28,CONDUCTOR,MOTO,MASCULINO,46,2017-04-28 00:00:00
2017-0051,2017-05-01,2017,5,1,CONDUCTOR,AUTO,MASCULINO,33,2017-05-01 00:00:00
2017-0052,2017-05-05,2017,5,5,PEATON,PEATON,FEMENINO,47,2017-05-05 00:00:00
2017-0053,2017-05-05,2017,5,5,CONDUCTOR,MOTO,MASCULINO,28,2017-05-05 00:00:00
2017-0055,2017-05-09,2017,5,9,CONDUCTOR,AUTO,MASCULINO,32,2017-05-09 00:00:00
2017-0059,2017-05-11,2017,5,11,PEATON,PEATON,FEMENINO,39,2017-05-11 00:00:00
2017-0061,2017-05-15,2017,5,15,PEATON,PEATON,MASCULINO,47,2017-05-16 00:00:00
2017-0062,2017-05-15,2017,5,15,CONDUCTOR,MOTO,MASCULINO,35,2017-05-15 00:00:00
2017-0067,2017-05-23,2017,5,23,CONDUCTOR,MOTO,MASCULINO,21,2017-05-23 00:00:00
2017-0068,2017-05-27,2017,5,27,CONDUCTOR,MOTO,MASCULINO,32,2017-05-27 00:00:00
2017-0069,2017-05-29,2017,5,29,CONDUCTOR,MOTO,MASCULINO,39,2017-05-29 00:00:00
2017-0072,2017-06-03,2017,6,3,CONDUCTOR,AUTO,MASCULINO,25,2017-06-03 00:00:00
2017-0075,2017-06-12,2017,6,12,PEATON,PEATON,MASCULINO,55,2017-06-12 00:00:00
2017-0076,2017-06-13,2017,6,13,PEATON,PEATON,FEMENINO,30,2017-06-13 00:00:00
2017-0079,2017-06-19,2017,6,19,CONDUCTOR,MOTO,MASCULINO,33,2017-06-19 00:00:00
2017-0082,2017-06-25,2017,6,25,PEATON,PEATON,MASCULINO,36,2017-06-25 00:00:00
2017-0083,2017-07-04,2017,7,4,CONDUCTOR,MOTO,MASCULINO,37,2017-07-04 00:00:00
2017-0086,2017-07-09,2017,7,9,PEATON,PEATON,FEMENINO,30,2017-07-09 00:00:00
2017-0088,2017-07-10,2017,7,10,PEATON,PEATON,MASCULINO,43,2017-07-10 00:00:00
2017-0090,2017-07-15,2017,7,15,PEATON,PEATON,MASCULINO,22,2017-07-15 00:00:00
2017-0091,2017-07-15,2017,7,15,CONDUCTOR,MOTO,MASCULINO,58,2017-07-15 00:00:00
2017-0095,2017-08-06,2017,8,6,CONDUCTOR,MOTO,MASCULINO,36,2017-08-06 00:00:00
2017-0102,2017-08-24,2017,8,24,PEATON,PEATON,MASCULINO,46,2017-08-24 00:00:00
2017-0107,2017-09-01,2017,9,1,CONDUCTOR,MOTO,MASCULINO,41,2017-09-01 00:00:00
